m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:25488199,58,Male,White,celtic_english,326
urn:li:member:4351398,32,Male,Asian,east_asian,1152
urn:li:member:15678940,73,Male,Black,celtic_english,0
urn:li:member:50985438,62,Female,White,celtic_english,562
urn:li:member:15273756,63,Male,White,celtic_english,1127
urn:li:member:84777206,39,Male,White,celtic_english,258
urn:li:member:1784635,40,Male,White,european,479
urn:li:member:671916,56,Male,White,celtic_english,1204
urn:li:member:59536658,22,Male,Asian,east_asian,713
urn:li:member:60054662,46,Male,White,celtic_english,486
urn:li:member:25843740,30,Female,Asian,east_asian,607
urn:li:member:8779383,46,Male,White,south_asian,1013
urn:li:member:2047927,48,Male,White,european,542
urn:li:member:76386394,41,Male,White,european,730
urn:li:member:48222764,39,Male,White,south_asian,289
urn:li:member:25161596,66,Male,White,celtic_english,1475
urn:li:member:807777,48,Male,White,south_asian,2229
urn:li:member:2191053,58,Male,White,celtic_english,1384
urn:li:member:671368,73,Male,White,muslim,841
urn:li:member:588722,60,Male,White,european,4594
urn:li:member:853405,33,Male,White,celtic_english,171
urn:li:member:3510054,47,Female,White,hispanic,23414
urn:li:member:12731123,37,Male,White,south_asian,7322
urn:li:member:52628133,34,Female,Asian,hispanic,694
urn:li:member:49462897,41,Male,White,celtic_english,455
urn:li:member:128035102,23,Male,Asian,south_asian,747
urn:li:member:13541729,29,Male,Black,south_asian,0
urn:li:member:47371769,43,Male,White,celtic_english,436
urn:li:member:4514075,35,Male,White,south_asian,621
urn:li:member:2129868,68,Male,White,european,817
urn:li:member:2815948,39,Female,White,south_asian,478
urn:li:member:9172227,58,Male,White,celtic_english,2219
urn:li:member:7427550,51,Male,White,european,0
urn:li:member:38928551,36,Male,White,muslim,924
urn:li:member:212350190,54,Female,White,celtic_english,7146
urn:li:member:23173346,58,Male,White,celtic_english,3609
urn:li:member:65994374,59,Male,White,european,1433
urn:li:member:299332852,37,Female,Asian,celtic_english,377
urn:li:member:3459716,42,Male,White,hispanic,406
