m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:83076872,55.654,55.654,56.084,0.078,0.078,0.078,55.187,85.365,None,-1.9909223,1.6598132,15.324026,0.0,100.0,0.0,0.0,3.963,3.935,66.821,4.222
urn:li:member:106832399,57.716,67.202,57.716,0.408,0.408,0.408,88.507,14.111,None,5.9330044,-0.18417966,-5.8574,98.945,0.0,0.0,1.055,1.188,9.016,12.688,0.517
urn:li:member:117713650,53.734,57.549,53.734,4.042,4.042,4.042,71.133,24.9,Normal,-3.252892,-12.747688,11.91668,99.644,0.004,0.0,0.351,1.777,1.087,3.658,5.487
urn:li:member:49671415,65.406,65.377,65.406,1.031,1.031,1.031,69.912,13.65,None,11.382967,-6.370719,-10.793908,99.944,0.032,0.002,0.021,71.675,17.554,0.891,2.752
urn:li:member:3054678,66.256,72.834,66.256,0.186,0.186,0.186,87.251,45.342,None,7.9561443,5.629792,-5.994033,0.482,23.173,0.001,76.344,8.864,12.986,2.561,2.016
urn:li:member:11592632,62.77,70.611,62.77,1.032,1.032,1.032,91.526,19.461,None,6.194638,-8.36471,-2.8979766,100.0,0.0,0.0,0.0,4.072,2.716,0.773,41.159
urn:li:member:580685652,79.564,79.564,73.646,0.032,0.032,0.032,24.115,90.557,None,6.147913,7.8130302,19.013548,1.575,98.076,0.0,0.349,3.953,4.321,54.739,11.981
urn:li:member:30576008,82.069,85.682,82.069,0.098,0.098,0.098,86.041,92.02,Normal,-10.801524,-0.99324995,-5.4376693,0.0,100.0,0.0,0.0,5.664,10.448,3.77,26.859
urn:li:member:23928452,54.495,64.552,54.495,0.85,0.85,0.85,89.237,96.136,None,7.8805118,-4.8678093,4.4151115,100.0,0.0,0.0,0.0,50.326,3.759,0.283,56.216
urn:li:member:92842121,61.928,72.52,61.928,0.587,0.587,0.587,42.766,81.697,None,-0.2818614,-14.262458,17.018543,85.542,0.499,0.0,13.959,1.852,4.949,6.897,5.902
urn:li:member:15634867,43.684,43.684,45.621,5.195,5.195,5.195,87.441,78.618,None,9.303674,0.12446781,3.6377006,95.151,4.847,0.0,0.002,30.649,4.503,5.849,31.659
urn:li:member:137266705,45.356,48.958,45.356,90.401,90.401,90.401,0.006,1.443,None,0.82612926,-1.0098468,8.385203,100.0,0.0,0.0,0.0,60.358,37.742,1.56,16.278
urn:li:member:11290529,38.262,41.608,38.262,0.974,0.974,0.974,81.565,76.349,None,9.011371,12.631928,8.179988,0.071,53.796,45.812,0.321,1.426,3.899,33.785,2.31
urn:li:member:12030339,70.092,76.001,70.092,0.377,0.377,0.377,94.481,9.146,None,1.5251548,0.6204563,0.49312857,0.147,0.0,0.156,99.697,0.646,1.613,41.319,7.943
urn:li:member:563598,58.854,71.066,58.854,0.344,0.344,0.344,92.634,87.156,Normal,4.164429,3.0272138,-2.6335723,0.003,99.997,0.0,0.0,2.363,7.279,12.435,2.625
urn:li:member:34553661,69.442,69.442,66.354,0.035,0.035,0.035,90.151,99.301,None,3.7500136,2.0099764,5.42238,0.0,100.0,0.0,0.0,1.461,1.489,10.824,6.58
urn:li:member:4959181,57.492,61.348,57.492,3.037,3.037,3.037,85.313,96.014,None,0.9286478,-2.7122505,8.16091,0.0,100.0,0.0,0.0,39.373,7.626,2.255,6.128
urn:li:member:287280991,68.469,69.637,68.469,0.574,0.574,0.574,0.006,0.869,None,-3.6895998,5.9941278,-58.314766,0.032,98.611,0.085,1.272,1.144,7.248,10.807,6.714
urn:li:member:19270141,50.472,50.472,55.577,0.748,0.748,0.748,93.131,90.015,None,7.22366,21.33874,0.07203117,99.923,0.069,0.004,0.003,9.383,14.356,8.478,1.181
urn:li:member:200541359,39.417,39.417,38.872,0.476,0.476,0.476,88.324,82.68,None,0.10416123,-0.11889609,-7.3384104,0.0,100.0,0.0,0.0,84.467,49.654,0.705,48.702
urn:li:member:13331346,69.708,72.891,69.708,66.202,66.202,66.202,0.006,52.203,None,2.7895334,6.336521,-10.968615,61.31,0.803,0.0,37.887,17.891,2.415,11.815,5.755
urn:li:member:155407027,73.862,76.92,73.862,4.308,4.308,4.308,81.846,53.697,None,6.7882276,-5.053874,-8.019048,99.999,0.0,0.0,0.001,1.655,6.011,6.602,6.906
urn:li:member:30178010,54.898,54.898,51.65,0.04,0.04,0.04,58.106,39.976,None,6.436862,-2.843839,14.34374,0.0,100.0,0.0,0.0,17.813,72.515,2.983,26.954
urn:li:member:84724419,51.15,51.15,49.49,8.326,8.326,8.326,40.574,92.152,None,2.308137,-6.1473575,16.308834,0.0,100.0,0.0,0.0,11.076,3.375,15.068,20.35
urn:li:member:2096883,47.248,47.248,37.881,0.467,0.467,0.467,89.096,99.018,None,10.554446,-0.4113319,-3.188018,0.0,100.0,0.0,0.0,6.839,1.706,0.905,55.827
urn:li:member:384591,44.925,45.801,44.925,1.623,1.623,1.623,93.519,5.201,None,0.8493767,-4.1895895,1.9611964,99.82,0.179,0.0,0.0,0.783,31.014,11.328,1.25
urn:li:member:42787847,67.098,68.239,67.098,0.045,0.045,0.045,79.991,51.822,Normal,6.4034905,0.7099987,9.710804,100.0,0.0,0.0,0.0,7.201,3.324,6.264,8.493
urn:li:member:103475231,54.305,59.037,54.305,1.135,1.135,1.135,91.943,90.307,None,3.4111457,-0.48256734,-3.4729745,24.589,75.411,0.0,0.0,0.166,3.341,10.612,2.851
urn:li:member:132948395,69.39,75.81,69.39,1.114,1.114,1.114,89.588,2.199,None,2.3579075,1.3800498,-5.910862,99.999,0.001,0.0,0.0,73.742,1.836,0.908,63.302
urn:li:member:52301240,38.738,43.588,38.738,0.061,0.061,0.061,90.712,94.767,Normal,6.20994,-0.14265789,4.0838575,0.0,100.0,0.0,0.0,0.997,0.856,2.617,19.438
urn:li:member:14252099,53.86,58.141,53.86,0.399,0.399,0.399,90.207,96.557,None,-6.1488323,-7.418859,4.465688,0.0,100.0,0.0,0.0,1.609,3.031,3.151,8.835
