m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:96565344,0.002,0.226,0.002,0.015,99.677,0.002,0.077
urn:li:member:49854648,0.001,0.001,0.001,0.014,99.967,0.005,0.01
urn:li:member:12027295,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:37419829,0.001,0.005,0.008,99.986,0.0,0.001,0.0
urn:li:member:29906566,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:68944012,0.039,0.003,0.001,99.068,0.001,0.886,0.001
urn:li:member:6312323,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:69183315,0.0,0.0,0.0,99.996,0.001,0.003,0.0
urn:li:member:3800619,0.002,0.009,0.001,99.987,0.0,0.0,0.0
urn:li:member:271434505,0.093,0.619,0.014,98.846,0.045,0.014,0.369
urn:li:member:7131906,0.16,92.438,0.019,7.141,0.127,0.097,0.019
urn:li:member:10550788,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:122652218,0.034,0.003,0.003,99.881,0.065,0.013,0.003
urn:li:member:12772737,0.001,1.414,0.001,98.399,0.066,0.118,0.001
urn:li:member:18568766,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:63035114,0.005,1.028,0.008,93.666,5.282,0.005,0.005
urn:li:member:8180676,0.0,0.0,0.0,99.998,0.001,0.0,0.0
urn:li:member:3854814,0.207,0.005,0.005,79.281,20.474,0.005,0.023
urn:li:member:4621171,0.002,0.201,0.011,99.771,0.002,0.004,0.009
urn:li:member:10066348,0.017,0.003,0.003,99.249,0.462,0.003,0.263
urn:li:member:13020675,0.0,0.0,0.0,99.997,0.002,0.0,0.0
urn:li:member:27347158,0.0,0.001,0.0,99.996,0.003,0.0,0.0
urn:li:member:46696832,0.009,0.275,0.015,6.19,87.397,0.009,6.107
urn:li:member:2434824,0.006,0.006,0.091,9.205,90.681,0.006,0.006
urn:li:member:194747679,0.197,0.606,0.59,27.345,71.06,0.102,0.102
urn:li:member:1322755,0.068,0.003,0.019,99.907,0.001,0.001,0.001
urn:li:member:139283928,0.001,0.0,0.001,99.996,0.0,0.0,0.001
urn:li:member:71027694,0.0,0.017,0.0,99.982,0.0,0.0,0.0
urn:li:member:20235792,0.057,0.057,0.057,4.928,90.005,4.839,0.057
urn:li:member:131661068,0.001,0.005,0.001,98.592,0.003,1.398,0.001
urn:li:member:16166929,0.031,0.004,0.015,15.443,84.487,0.016,0.004
urn:li:member:50931542,0.0,0.001,0.0,98.423,1.572,0.003,0.001
urn:li:member:14464610,0.075,18.614,0.204,36.105,0.075,44.838,0.089
urn:li:member:101917869,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:1619196,0.007,0.007,0.007,2.55,97.355,0.036,0.039
urn:li:member:13295176,0.014,0.002,0.003,99.98,0.001,0.001,0.001
urn:li:member:11907401,0.024,0.028,0.324,99.007,0.012,0.052,0.552
urn:li:member:25153686,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:23572556,0.005,0.158,0.01,96.487,3.311,0.024,0.005
urn:li:member:47847704,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:283246290,0.001,0.001,0.001,99.956,0.026,0.001,0.015
urn:li:member:15572894,0.002,0.006,0.014,99.891,0.002,0.082,0.003
urn:li:member:133910834,0.633,1.61,0.377,96.972,0.023,0.023,0.363
